,0,1,2,3,4,5
0,114963622012.53316,86921435353.06973,401907099.8715222,28587950.057458606,94841923.91464484,436440807.7764711
1,77830485377.30962,64890804684.6348,19793872944.091816,903045063.6434017,116213418.23519953,631056123.4588202
2,63318498729.48869,60191044994.765144,24307180251.01161,2015713273.3211188,171355772.61909643,678591900.9071512
3,51752220761.0609,48432587456.54401,29843645780.388813,6980617176.400749,221252661.1380208,683271792.449826
4,45830653975.9407,40020939713.73024,24191344376.276535,5987246117.441858,366157748.88777184,773910683.4759574
5,33693087617.10326,36830572085.190994,22862912407.379868,7706034670.09242,567847760.1248829,692399271.8275086
