,0,1,2,3,4,5
0,51788629685.064705,31615048122.9468,1348076019.3224304,10153663.778864311,22568036.217940923,131696464.94475895
1,46363224008.389175,28540998118.427605,14773786575.87347,1553281242.9255495,47158139.062536374,208744149.20201573
2,27013022227.054794,29980418528.609936,16497861947.687757,2350010521.3213162,75024057.28641534,185396839.764139
3,29828697466.346504,23535890979.212547,22194221408.308186,6349418498.716109,124234800.35634282,145188066.18534425
4,25841141871.7096,19243044227.2027,14470882131.983625,6668011042.037365,295394777.63059425,137767477.07727292
5,16737614703.598078,19833527668.80899,14809620256.184788,7391512584.17305,485544228.4585651,199464378.20008415
