,0,1,2
0,1.0726612133086642e+20,251590264319964.47,4.0
1,1.1630609167619059e+20,487600156550.94,0.0
2,9.264807504837614e+19,3827541463.01,0.0
3,1.1292935221825418e+20,146170433.01,0.0
4,7.830349409645568e+19,15957011.39,0.0
5,8.042029579392374e+19,3213110.03,0.0
